Config,Targets,Rank,Base Acc,FT Acc,Delta
E2_attention_r1,q+k+v+o,1,0.4882,0.6998,+0.2115
E2_attention_r16,q+k+v+o,16,0.4882,0.7096,+0.2214
E2_attention_r2,q+k+v+o,2,0.4882,0.6914,+0.2032
E2_attention_r32,q+k+v+o,32,0.4882,0.7036,+0.2153
E2_attention_r64,q+k+v+o,64,0.4716,0.7005,+0.2290
E2_attention_r8,q+k+v+o,8,0.4882,0.6876,+0.1994
E2_qv_r1,q+v,1,0.4716,0.7005,+0.2290
E2_qv_r16,q+v,16,0.4716,0.6892,+0.2176
E2_qv_r2,q+v,2,0.4716,0.7081,+0.2365
E2_qv_r32,q+v,32,0.4716,0.6960,+0.2244
E2_qv_r4,q+v,4,0.4716,0.6952,+0.2237
E2_qv_r64,q+v,64,0.4716,0.6808,+0.2092
E2_qv_r8,q+v,8,0.4716,0.6929,+0.2214
